cut	k	mask	rank_sum	max_rank_sum	entropy_nats	entropy_bits	max_entropy_bits	cost
239	3	2305	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
240	3	4353	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
241	3	8449	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
242	3	16641	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
243	3	33025	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
244	3	65793	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
245	3	1537	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
246	3	2561	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
247	3	4609	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
248	3	8705	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
249	3	16897	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
250	3	33281	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
251	3	66049	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
252	3	3073	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
253	3	5121	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
254	3	9217	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
255	3	17409	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
256	3	33793	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
257	3	66561	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
258	3	6145	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
259	3	10241	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
260	3	18433	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
261	3	34817	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
262	3	67585	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
263	3	12289	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
264	3	20481	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
